,MessageID,MessageType,MessageTimeLeft,MessageTimeReceived,MessageDelay,MessageRoute,MessageTarget
706,94_11,Real,10.268790966336423,15.77821043670197,"[0.38384134239042966, 0.9682175590544059, 0]","[Client id: 94, ( id: 9, corrupt: False ), Client id: 19]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
707,86_2,Real,3.5637785126702823,15.77821043670197,"[0.5851389390671817, 0.05193492244826922, 0]","[Client id: 86, ( id: 9, corrupt: False ), Client id: 99]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
708,5_6,Real,3.5424383403584523,15.77821043670197,"[0.19892227955471492, 0.6619305443546961, 0]","[Client id: 5, ( id: 9, corrupt: False ), Client id: 88]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
709,15_6,Real,8.171563705292149,15.77821043670197,"[0.16282039227797285, 0.4813400070075158, 0]","[Client id: 15, ( id: 9, corrupt: False ), Client id: 58]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
710,88_2,Real,1.3120474778013944,15.981582225341798,"[0.43633928461157984, 0.5173347050143622, 0]","[Client id: 88, ( id: 7, corrupt: False ), Client id: 38]","[0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
711,63_18,Real,15.54138005214014,15.981582225341798,"[1.571304852808004, 2.604025132365958, 0]","[Client id: 63, ( id: 7, corrupt: False ), Client id: 88]","[0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
712,93_18,Real,13.881582225341797,15.981582225341798,"[1.1362390389508843, 2.4289648778578004, 0]","[Client id: 93, ( id: 7, corrupt: False ), Client id: 12]","[0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
713,3_1,Real,0.8063274213005996,15.981582225341798,"[0.8063274213005996, 0.8154220306886182, 0]","[Client id: 3, ( id: 7, corrupt: False ), Client id: 41]","[0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
714,87_8,Real,1.9037614210641762,15.981582225341798,"[0.3467552598249356, 0.15671430500878467, 0]","[Client id: 87, ( id: 7, corrupt: False ), Client id: 82]","[0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
715,88_13,Real,12.14347426416425,15.981582225341798,"[0.24443412384305918, 1.2441707857826714, 0]","[Client id: 88, ( id: 7, corrupt: False ), Client id: 87]","[0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
716,60_4,Real,5.243642334330851,15.981582225341798,"[2.0961237683058043, 0.5295188021090642, 0]","[Client id: 60, ( id: 7, corrupt: False ), Client id: 29]","[0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
717,69_7,Real,11.440629096079562,15.981582225341798,"[5.636219520382469, 0.014599851845617802, 0]","[Client id: 69, ( id: 7, corrupt: False ), Client id: 48]","[0.0, 0.0, 0.009999999999999998, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
718,13_3,Real,0.5754843717018161,15.981582225341798,"[0.049215717685159525, 1.253848756466404, 0]","[Client id: 13, ( id: 7, corrupt: False ), Client id: 64]","[0.0, 0.0, 0.009999999999999998, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
719,43_14,Real,13.17716270909941,15.981582225341798,"[0.13272683010322808, 0.6343361024952258, 0]","[Client id: 43, ( id: 7, corrupt: False ), Client id: 53]","[0.0, 0.0, 0.009999999999999998, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
720,82_18,Real,14.797847499628194,16.040211261158667,"[1.4312080575406811, 2.578152994936282, 0]","[Client id: 82, ( id: 3, corrupt: False ), Client id: 3]","[0.0, 0.008099999999999998, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
721,33_22,Real,13.593434021528141,16.040211261158667,"[0.7678300234859238, 1.886913119831007, 0]","[Client id: 33, ( id: 3, corrupt: False ), Client id: 74]","[0.0, 0.008099999999999998, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
722,49_6,Real,5.332705947950922,16.040211261158667,"[0.911659844512159, 5.6589868159592465, 0]","[Client id: 49, ( id: 3, corrupt: False ), Client id: 55]","[0.0, 0.008099999999999998, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
723,29_3,Real,2.33088081984868,16.040211261158667,"[0.7036184124462419, 1.173719174110828, 0]","[Client id: 29, ( id: 3, corrupt: False ), Client id: 35]","[0.0, 0.008099999999999998, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
724,15_1,Real,1.4574050796618705,16.040211261158667,"[1.4574050796618705, 1.060695335135548, 0]","[Client id: 15, ( id: 3, corrupt: False ), Client id: 78]","[0.0, 0.008099999999999998, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
725,22_1,Real,1.4344777491317284,16.040211261158667,"[1.4344777491317284, 0.7108630253819068, 0]","[Client id: 22, ( id: 3, corrupt: False ), Client id: 48]","[0.0, 0.008099999999999998, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
726,25_4,Real,3.2413789992697692,16.040211261158667,"[1.2043921162725966, 0.08422471349469807, 0]","[Client id: 25, ( id: 3, corrupt: False ), Client id: 21]","[0.0, 0.008099999999999998, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
727,79_10,Real,10.438592610013613,16.040211261158667,"[0.4614370924773194, 0.1362527608574534, 0]","[Client id: 79, ( id: 3, corrupt: False ), Client id: 82]","[0.0, 0.008099999999999998, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
728,15_10,Real,10.183307378826294,16.040211261158667,"[0.5071217663245647, 0.06568657785121243, 0]","[Client id: 15, ( id: 3, corrupt: False ), Client id: 24]","[0.0, 0.008099999999999998, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
729,53_16,Real,14.591032942423615,16.040211261158667,"[1.071714027694221, 1.2525182032168285, 0]","[Client id: 53, ( id: 3, corrupt: False ), Client id: 71]","[0.0, 0.008099999999999998, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
