,MessageID,MessageType,MessageTimeLeft,MessageDelay,MessageRoute
1414,39_14,Real,13.404733905484154,"[6.782559628566197, 0.3322839695530909, 0]","[Client id: 39, ( id: 6, corrupt: False ), Client id: 67]"
1415,78_20,Real,13.408691908318454,"[0.17227798150220727, 1.3701290548841665, 0]","[Client id: 78, ( id: 7, corrupt: False ), Client id: 68]"
1416,4_17,Real,13.415386359909828,"[0.8741877115681094, 0.18603960933437858, 0]","[Client id: 4, ( id: 5, corrupt: False ), Client id: 1]"
1417,73_17,Real,13.416940765926082,"[0.7141473161371087, 0.6239755207916008, 0]","[Client id: 73, ( id: 1, corrupt: False ), Client id: 43]"
1418,80_23,Real,13.425494547491938,"[0.6363689853458346, 0.8702250365149637, 0]","[Client id: 80, ( id: 8, corrupt: False ), Client id: 66]"
1419,99_23,Real,13.432006938585761,"[0.6551763838685088, 1.5033185784892706, 0]","[Client id: 99, ( id: 10, corrupt: False ), Client id: 64]"
1420,50_13,Real,13.438118662722221,"[0.587624110899094, 0.7579844844866134, 0]","[Client id: 50, ( id: 9, corrupt: False ), Client id: 90]"
1421,1_13,Real,13.44330525673263,"[0.39632387252756623, 1.236177074538426, 0]","[Client id: 1, ( id: 2, corrupt: False ), Client id: 56]"
1422,56_11,Real,13.456086474358223,"[0.5946150373798279, 1.0091660247651233, 0]","[Client id: 56, ( id: 2, corrupt: False ), Client id: 5]"
1423,62_24,Real,13.464091638627169,"[0.12638335172137694, 0.32106426396370225, 0]","[Client id: 62, ( id: 5, corrupt: False ), Client id: 87]"
1424,39_15,Real,13.490197817283073,"[0.08546391179891898, 1.309784745065988, 0]","[Client id: 39, ( id: 5, corrupt: False ), Client id: 85]"
1425,4_18,Real,13.49687277983192,"[0.08148641992209206, 1.6691721777806645, 0]","[Client id: 4, ( id: 9, corrupt: False ), Client id: 95]"
1426,80_24,Real,13.503984623839228,"[0.0784900763472901, 0.052298401837305344, 0]","[Client id: 80, ( id: 3, corrupt: False ), Client id: 42]"
1427,95_19,Real,13.511228147506344,"[0.453877381991341, 1.6422946719307387, 0]","[Client id: 95, ( id: 2, corrupt: False ), Client id: 15]"
1428,88_16,Real,13.51324487124266,"[0.8654114457089535, 1.8113643612415296, 0]","[Client id: 88, ( id: 10, corrupt: False ), Client id: 19]"
1429,53_15,Real,13.519318914729395,"[0.369988645556016, 0.49767286848119424, 0]","[Client id: 53, ( id: 5, corrupt: False ), Client id: 60]"
1430,42_16,Real,13.537657614920397,"[2.3525140563831197, 1.3225894531544735, 0]","[Client id: 42, ( id: 9, corrupt: False ), Client id: 31]"
1431,89_12,Real,13.540103039591974,"[0.4620563857158227, 0.036007102791358304, 0]","[Client id: 89, ( id: 10, corrupt: False ), Client id: 61]"
1432,91_13,Real,13.54213750346674,"[0.9593620230810153, 0.6154800853413364, 0]","[Client id: 91, ( id: 9, corrupt: False ), Client id: 69]"
1433,57_13,Real,13.542220933473839,"[0.36577129501262984, 0.30298220319731967, 0]","[Client id: 57, ( id: 4, corrupt: False ), Client id: 26]"
1434,84_13,Real,13.544089335724399,"[2.1947411835316273, 1.3759193425944425, 0]","[Client id: 84, ( id: 6, corrupt: False ), Client id: 39]"
1435,63_16,Real,13.548693859089518,"[1.094328481108275, 0.14766867658831756, 0]","[Client id: 63, ( id: 3, corrupt: False ), Client id: 52]"
1436,18_18,Real,13.549890248661645,"[0.49758172320291116, 0.5752967577495604, 0]","[Client id: 18, ( id: 3, corrupt: False ), Client id: 34]"
1437,17_13,Real,13.551963219369942,"[2.4860067998756916, 1.2224457586635353, 0]","[Client id: 17, ( id: 3, corrupt: False ), Client id: 84]"
1438,78_21,Real,13.568272400780629,"[0.1595804924621748, 1.5839465514314177, 0]","[Client id: 78, ( id: 4, corrupt: False ), Client id: 70]"
1439,33_22,Real,13.593434021528141,"[0.7678300234859238, 1.886913119831007, 0]","[Client id: 33, ( id: 3, corrupt: False ), Client id: 74]"
1440,50_14,Real,13.595887341671114,"[0.157768678948893, 2.0466274534755504, 0]","[Client id: 50, ( id: 2, corrupt: False ), Client id: 98]"
1441,41_21,Real,13.598030729539113,"[0.2697493808913439, 0.7965770042937926, 0]","[Client id: 41, ( id: 10, corrupt: False ), Client id: 66]"
1442,5_12,Real,13.598476874973136,"[0.20627016017689448, 1.0157580674422695, 0]","[Client id: 5, ( id: 8, corrupt: False ), Client id: 30]"
1443,8_13,Real,13.605383315458397,"[0.7466984552023193, 1.6139910010211032, 0]","[Client id: 8, ( id: 9, corrupt: False ), Client id: 99]"
